protein,down.in.Clim-aerobic,up.in.Clim-aerobic,down.in.Clim-anaerobic,up.in.Clim-anaerobic
YBL029W,TRUE,FALSE,FALSE,FALSE
YBL095W,TRUE,FALSE,FALSE,FALSE
YBR151W,TRUE,FALSE,FALSE,FALSE
YCL025C,TRUE,FALSE,FALSE,TRUE
YCR043C,TRUE,FALSE,FALSE,FALSE
YCR102C,TRUE,FALSE,FALSE,FALSE
YDR309C,TRUE,FALSE,FALSE,FALSE
YDR352W,TRUE,FALSE,FALSE,FALSE
YDR533C,TRUE,FALSE,FALSE,FALSE
YEL016C,TRUE,FALSE,FALSE,FALSE
YER001W,TRUE,FALSE,FALSE,FALSE
YER028C,TRUE,FALSE,FALSE,FALSE
YER053C,TRUE,FALSE,FALSE,FALSE
YER124C,TRUE,FALSE,FALSE,FALSE
YFL025C,TRUE,FALSE,FALSE,FALSE
YFL026W,TRUE,FALSE,FALSE,FALSE
YGL065C,TRUE,FALSE,FALSE,FALSE
YGR041W,TRUE,FALSE,FALSE,FALSE
YGR125W,TRUE,FALSE,FALSE,FALSE
YGR192C,TRUE,FALSE,FALSE,FALSE
YHR048W,TRUE,FALSE,FALSE,FALSE
YHR049W,TRUE,FALSE,FALSE,FALSE
YHR179W,TRUE,FALSE,FALSE,FALSE
YHR210C,TRUE,FALSE,FALSE,FALSE
YIL111W,TRUE,FALSE,FALSE,FALSE
YJL212C,TRUE,FALSE,FALSE,FALSE
YJL213W,TRUE,FALSE,FALSE,FALSE
YJR030C,TRUE,FALSE,FALSE,FALSE
YKL043W,TRUE,FALSE,FALSE,FALSE
YKL062W,TRUE,FALSE,FALSE,FALSE
YKL209C,TRUE,FALSE,FALSE,FALSE
YKR093W,TRUE,FALSE,FALSE,FALSE
YLL028W,TRUE,FALSE,FALSE,FALSE
YLR108C,TRUE,FALSE,FALSE,FALSE
YLR179C,TRUE,FALSE,FALSE,FALSE
YLR460C,TRUE,FALSE,FALSE,FALSE
YMR057C,TRUE,FALSE,FALSE,FALSE
YMR269W,TRUE,FALSE,FALSE,FALSE
YMR285C,TRUE,FALSE,FALSE,FALSE
YNL066W,TRUE,FALSE,FALSE,FALSE
YNL134C,TRUE,FALSE,FALSE,FALSE
YNR032C-A,TRUE,FALSE,FALSE,FALSE
YOL136C,TRUE,FALSE,FALSE,FALSE
YOR171C,TRUE,FALSE,FALSE,FALSE
YPL095C,TRUE,FALSE,FALSE,FALSE
YPR013C,TRUE,FALSE,FALSE,FALSE
YPR106W,TRUE,FALSE,FALSE,FALSE
YPR138C,TRUE,FALSE,FALSE,FALSE
YAL054C,FALSE,TRUE,FALSE,FALSE
YAR068W,FALSE,TRUE,FALSE,FALSE
YBR026C,FALSE,TRUE,FALSE,FALSE
YBR046C,FALSE,TRUE,FALSE,FALSE
YBR068C,FALSE,TRUE,FALSE,FALSE
YBR072W,FALSE,TRUE,FALSE,FALSE
YBR116C,FALSE,TRUE,FALSE,FALSE
YBR117C,FALSE,TRUE,FALSE,FALSE
YBR150C,FALSE,TRUE,FALSE,FALSE
YBR157C,FALSE,TRUE,FALSE,FALSE
YBR230C,FALSE,TRUE,FALSE,FALSE
YBR295W,FALSE,TRUE,FALSE,FALSE
YCR010C,FALSE,TRUE,FALSE,FALSE
YCR018C,FALSE,TRUE,FALSE,FALSE
YDL009C,FALSE,TRUE,FALSE,FALSE
YDL049C,FALSE,TRUE,FALSE,FALSE
YDL085W,FALSE,TRUE,FALSE,FALSE
YDL204W,FALSE,TRUE,FALSE,FALSE
YDL214C,FALSE,TRUE,FALSE,FALSE
YDL223C,FALSE,TRUE,FALSE,FALSE
YDR018C,FALSE,TRUE,FALSE,FALSE
YDR034W-B,FALSE,TRUE,FALSE,FALSE
YDR070C,FALSE,TRUE,FALSE,FALSE
YDR077W,FALSE,TRUE,FALSE,FALSE
YDR216W,FALSE,TRUE,FALSE,FALSE
YDR256C,FALSE,TRUE,FALSE,FALSE
YDR380W,FALSE,TRUE,FALSE,FALSE
YDR384C,FALSE,TRUE,FALSE,FALSE
YDR453C,FALSE,TRUE,FALSE,FALSE
YDR536W,FALSE,TRUE,FALSE,FALSE
YEL041W,FALSE,TRUE,FALSE,FALSE
YEL057C,FALSE,TRUE,FALSE,FALSE
YER015W,FALSE,TRUE,FALSE,FALSE
YER024W,FALSE,TRUE,FALSE,FALSE
YER065C,FALSE,TRUE,FALSE,FALSE
YER103W,FALSE,TRUE,FALSE,FALSE
YER121W,FALSE,TRUE,FALSE,FALSE
YFL011W,FALSE,TRUE,FALSE,FALSE
YFL030W,FALSE,TRUE,FALSE,FALSE
YGL080W,FALSE,TRUE,FALSE,FALSE
YGL117W,FALSE,TRUE,FALSE,FALSE
YGL205W,FALSE,TRUE,FALSE,FALSE
YGL208W,FALSE,TRUE,FALSE,FALSE
YGR043C,FALSE,TRUE,FALSE,FALSE
YGR067C,FALSE,TRUE,FALSE,FALSE
YGR201C,FALSE,TRUE,FALSE,FALSE
YGR230W,FALSE,TRUE,FALSE,FALSE
YGR236C,FALSE,TRUE,FALSE,FALSE
YGR250C,FALSE,TRUE,FALSE,FALSE
YGR256W,FALSE,TRUE,FALSE,FALSE
YHL032C,FALSE,TRUE,FALSE,FALSE
YHR015W,FALSE,TRUE,FALSE,FALSE
YHR096C,FALSE,TRUE,FALSE,FALSE
YHR209W,FALSE,TRUE,FALSE,FALSE
YIL107C,FALSE,TRUE,FALSE,FALSE
YIL117C,FALSE,TRUE,FALSE,FALSE
YIL136W,FALSE,TRUE,FALSE,FALSE
YIL155C,FALSE,TRUE,FALSE,FALSE
YIL160C,FALSE,TRUE,FALSE,FALSE
YIR016W,FALSE,TRUE,FALSE,FALSE
YIR038C,FALSE,TRUE,FALSE,FALSE
YJL037W,FALSE,TRUE,FALSE,FALSE
YJL045W,FALSE,TRUE,FALSE,FALSE
YJL089W,FALSE,TRUE,FALSE,FALSE
YJL137C,FALSE,TRUE,FALSE,FALSE
YJL144W,FALSE,TRUE,FALSE,FALSE
YJL153C,FALSE,TRUE,FALSE,FALSE
YJL161W,FALSE,TRUE,FALSE,FALSE
YJL185C,FALSE,TRUE,FALSE,FALSE
YJL191W,FALSE,TRUE,FALSE,FALSE
YJL216C,FALSE,TRUE,FALSE,FALSE
YJL217W,FALSE,TRUE,FALSE,FALSE
YJR019C,FALSE,TRUE,FALSE,FALSE
YJR094C,FALSE,TRUE,FALSE,FALSE
YJR095W,FALSE,TRUE,FALSE,FALSE
YJR096W,FALSE,TRUE,FALSE,FALSE
YJR109C,FALSE,TRUE,FALSE,FALSE
YJR156C,FALSE,TRUE,FALSE,FALSE
YKL026C,FALSE,TRUE,FALSE,FALSE
YKL093W,FALSE,TRUE,FALSE,FALSE
YKL107W,FALSE,TRUE,FALSE,FALSE
YKL138C,FALSE,TRUE,FALSE,FALSE
YKL171W,FALSE,TRUE,FALSE,FALSE
YKL187C,FALSE,TRUE,FALSE,FALSE
YKR009C,FALSE,TRUE,FALSE,FALSE
YKR049C,FALSE,TRUE,FALSE,FALSE
YKR067W,FALSE,TRUE,FALSE,FALSE
YKR075C,FALSE,TRUE,FALSE,FALSE
YKR076W,FALSE,TRUE,FALSE,FALSE
YKR091W,FALSE,TRUE,FALSE,FALSE
YLR174W,FALSE,TRUE,FALSE,FALSE
YLR194C,FALSE,TRUE,FALSE,FALSE
YLR284C,FALSE,TRUE,FALSE,FALSE
YLR307W,FALSE,TRUE,FALSE,FALSE
YLR377C,FALSE,TRUE,FALSE,FALSE
YLR411W,FALSE,TRUE,FALSE,FALSE
YML042W,FALSE,TRUE,FALSE,FALSE
YML054C,FALSE,TRUE,FALSE,FALSE
YML122C,FALSE,TRUE,FALSE,FALSE
YML128C,FALSE,TRUE,FALSE,FALSE
YMR006C,FALSE,TRUE,FALSE,FALSE
YMR011W,FALSE,TRUE,TRUE,FALSE
YMR095C,FALSE,TRUE,FALSE,FALSE
YMR096W,FALSE,TRUE,FALSE,FALSE
YMR107W,FALSE,TRUE,FALSE,FALSE
YMR118C,FALSE,TRUE,FALSE,FALSE
YMR174C,FALSE,TRUE,FALSE,FALSE
YMR175W,FALSE,TRUE,FALSE,FALSE
