"table","name","state","E_units","DCp","DV","DG"
"OBIGT","MgADP-","aq","cal",-1.01,,
"OBIGT","HNicMP(ox)","aq","cal",,9.4,
"OBIGT","ribose-5-phosphate","aq","cal",,7.48,
"OBIGT","ribose-5-phosphate-2","aq","cal",1.53,,
"OBIGT","H4NADP(red)","aq","cal",1.73,,
"OBIGT","H3NADP(red)-","aq","cal",2.41,,
"OBIGT","H2NADP(red)-2","aq","cal",1.28,,
"OBIGT","HNADP(red)-3","aq","cal",2.09,,
"OBIGT","NADP(red)-4","aq","cal",1.09,,
"OBIGT","H3NADP(ox)","aq","cal",1.05,,
"OBIGT","cysteinate","aq","cal",-1,,
"OBIGT","glucose","aq","cal",1.11,,
"OBIGT","methyldiethanolamine","aq","cal",1.61,,
"OBIGT","diglycine+","aq","cal",-177.69,,
"OBIGT","diglycine-","aq","cal",-49.22,,565
"OBIGT","triglycine+","aq","cal",,1.75,
"OBIGT","triglycine-","aq","cal",,1.78,
"OBIGT","oleate","aq","J",,,39179
"OBIGT","palmitoleate","aq","J",,,-242150
"OBIGT","heptose","aq","J",,,-75027
"OBIGT","N-acetylmuramic acid","aq","J",,,-38589
"OBIGT","ethanolamine","aq","J",,,4598
"OBIGT","alaninate","aq","cal",1.89,,
"OBIGT","histidinate","aq","cal",2.52,,
"OBIGT","isoleucinate","aq","cal",1.61,,
"OBIGT","methionate","aq","cal",2.42,,
"OBIGT","prolinate","aq","cal",1.73,,
"OBIGT","serinate","aq","cal",2.92,,
"OBIGT","threonate","aq","cal",1.97,,
"OBIGT","tryptophanate","aq","cal",,,2998
"OBIGT","valinate","aq","cal",2.06,,
"OBIGT","methylaminium","aq","J",,3.1,
"OBIGT","dimethylaminium","aq","J",,3.08,
"OBIGT","trimethylaminium","aq","J",,3.17,
"OBIGT","ethylaminium","aq","J",,2.94,
"OBIGT","diethylaminium","aq","J",,3.02,
"OBIGT","triethylaminium","aq","J",,3.11,
"OBIGT","propylaminium","aq","J",,3.04,
"OBIGT","dipropylaminium","aq","J",,3.06,
"OBIGT","tripropylaminium","aq","J",,3.35,
"OBIGT","butylaminium","aq","J",,3.12,
"OBIGT","dibutylamine","aq","J",,-1.3,
"OBIGT","dibutylaminium","aq","J",,3.16,
"OBIGT","tributylaminium","aq","J",,3.67,
"OBIGT","pentylaminium","aq","J",,3.24,
"OBIGT","dipentylaminium","aq","J",,3.53,
"OBIGT","tripentylaminium","aq","J",,4.05,
"OBIGT","hexylaminium","aq","J",,3.29,
"OBIGT","dihexylaminium","aq","J",,3.61,
"OBIGT","trihexylaminium","aq","J",,4.18,
"OBIGT","heptylaminium","aq","J",,3.4,
"OBIGT","diheptylaminium","aq","J",,3.84,
"OBIGT","triheptylaminium","aq","J",,4.52,
"OBIGT","octylaminium","aq","J",,3.39,
"OBIGT","dioctylaminium","aq","J",,3.79,
"OBIGT","trioctylaminium","aq","J",,4.44,
"OBIGT","benzylaminium","aq","J",,2.98,
"OBIGT","dibenzylaminium","aq","J",,3.04,
"OBIGT","tribenzylaminium","aq","J",,2.26,
"OBIGT","hydromagnesite","cr","cal",,,-2569
"OBIGT","jarosite","cr","cal",,,20697
"OBIGT","natrojarosite","cr","cal",,,17554
"OBIGT","realgar,alpha","cr","J",,,768
"OBIGT","realgar,beta","cr","J",,,989
"OBIGT","orpiment","cr","J",,,-1036
"OBIGT","dawsonite","cr","J",,,19466
"OBIGT","ferberite","cr","J",1.21,,
"OBIGT","willemite","cr","J",-1.47,,
"OBIGT","rutherfordine","cr","J",-14.37,,
"OBIGT","CePO4","cr","J",,,681
"OBIGT","cadmium","cr","J",-22.72,,
"OBIGT","germanium","cr","J",17.63,,
"OBIGT","CoSO4","cr","cal",8.39,,
"OBIGT","skutterudite","cr","J",,,-509
"OBIGT","eucryptite","cr","J",1.05,,
"OBIGT","Ce2O3-A","cr","J",,,1377
"OBIGT","Nd2O3-A","cr","J",,,-532
"OBIGT","Tb2O3-C","cr","J",,,585
"OBIGT","Dy2O3-C","cr","J",,,-1808
"OBIGT","Er2O3-C","cr","J",,,-799
"OBIGT","CeO2","cr","J",,,691
"OBIGT","Ce(OH)3","cr","J",,,879
"OBIGT","Pr(OH)3","cr","J",,,13651
"OBIGT","Eu(OH)3","cr","J",,,-866
"OBIGT","CeCl3","cr","J",,,678
"OBIGT","DyCl3","cr","J",,,-915
"OBIGT","YCl3","cr","J",,,2027761
"OBIGT","TbCl3*6H2O","cr","J",,,-1123
"OBIGT","DyCl3*6H2O","cr","J",,,-879
"OBIGT","LaF3","cr","J",-7.49,,
"OBIGT","CeF3","cr","J",-1.92,,674
"OBIGT","PrF3","cr","J",-1.32,,
"OBIGT","DyF3","cr","J",,,-917
"OBIGT","HoF3","cr","J",-1.73,,
"OBIGT","Dy2(CO3)3","cr","J",,,-1812
"OBIGT","Sm2(CO3)3*3H2O","cr","J",,,-347737
"OBIGT","Eu2(CO3)3*3H2O","cr","J",,,-347742
"OBIGT","Gd2(CO3)3*3H2O","cr","J",,,-347714
"OBIGT","Dy2(CO3)3*3H2O","cr","J",,,-349534
"OBIGT","Ho2(CO3)3*3H2O","cr","J",,,-347654
"OBIGT","Er2(CO3)3*3H2O","cr","J",,,-348523
"OBIGT","Tm2(CO3)3*3H2O","cr","J",,,-347269
"OBIGT","LaFeO3","cr","J",,,8266
"OBIGT","PrFeO3","cr","J",,,8487
"OBIGT","NdFeO3","cr","J",,,4115
"OBIGT","SmFeO3","cr","J",,,-10423
"OBIGT","EuFeO3","cr","J",,,-19079
"OBIGT","GdFeO3","cr","J",,,-13784
"OBIGT","DyFeO3","cr","J",,,-9130
"OBIGT","HoFeO3","cr","J",,,-16324
"OBIGT","ErFeO3","cr","J",,,-28475
"OBIGT","Ce2Zr2O7","cr","J",,,1329
"OBIGT","Nd2Zr2O7","cr","J",,,-517
"OBIGT","Sm2Zr2O7","cr","J",,,2183
"OBIGT","bastnäsite-(Ce)","cr","J",3.86,,
"OBIGT","parisite-(Ce)","cr","J",-8.84,,
"OBIGT","octadecane","cr","cal",-2.63,,
"OBIGT","nonadecane","cr","cal",-13.32,,
"OBIGT","eicosane","cr","cal",-2.79,,
"OBIGT","heneicosane","cr","cal",-8.61,,
"OBIGT","docosane","cr","cal",-2.63,,
"OBIGT","tricosane","cr","cal",-5.22,,
"OBIGT","tetracosane","cr","cal",-2.02,,
"OBIGT","pentacosane","cr","cal",-2.93,,
"OBIGT","hexacosane","cr","cal",-1.29,,
"OBIGT","heptacosane","cr","cal",-1.23,,
"OBIGT","carbazole","cr","cal",-43.39,,
"OBIGT","triphenylene","cr","cal",,,541
"OBIGT","deoxyadenosine","cr","cal",,,-2977
"OBIGT","ethylene","gas","cal",-4.59,,
"OBIGT","3,5-dimethylphenol","gas","cal",,,628
"OBIGT","nonacontane","liq","cal",,,635
"OBIGT","2-methyloctane","liq","cal",10,,
"OBIGT","5,6-dithiadecane","liq","cal",2,,
"DEW","AlO2(SiO2)-","aq","cal",,,-897
"DEW","BO(OH)","aq","cal",,,-1111
"DEW","CaHCO3+","aq","cal",,,-2971
"DEW","CaCl+","aq","cal",,,-593
"DEW","CaCO3","aq","cal",,,661
"DEW","Ce+4","aq","cal",,-1.13,
"DEW","CO3-2","aq","cal",,-1.41,
"DEW","FeHCOO+","aq","cal",,,-1082
"DEW","FeCl+2","aq","cal",,,-4165
"DEW","FeCl2+","aq","cal",,,-8614
"DEW","FeCl3","aq","cal",,,-14671
"DEW","FeCl4-","aq","cal",,,-21499
"DEW","HCN","aq","cal",,,907
"DEW","Hg2+2","aq","cal",,,9334
"DEW","HPO4-2","aq","cal",,-1.02,
"DEW","KOH","aq","cal",,,-71448
"DEW","MgHCO3+","aq","cal",,,686
"DEW","MgOH+","aq","cal",,,11274
"DEW","Mg(SiO2)(HCO3)+","aq","cal",,,1491
"DEW","MgSO4","aq","cal",,,-3852
"DEW","MnSO4","aq","cal",,,1203
"DEW","NaHCO3","aq","cal",,,4657
"DEW","OH-","aq","cal",,,730
"DEW","PO4-3","aq","cal",,-1.72,
"DEW","S2O3-2","aq","cal",,,939
"DEW","S2O6-2","aq","cal",,,-607
"DEW","S5O6-2","aq","cal",,,664
"DEW","Si3O6","aq","cal",,,-21928
"DEW","SO3-2","aq","cal",,-1.02,
"DEW","U+4","aq","cal",,-1.13,
"DEW","ZnCl3-","aq","cal",,,2264
"SLOP98-a","Pd(SO4)3-4","aq","cal",,-1.8,
"SLOP98-a","PtCl+","aq","cal",-3.52,1.25,
"SLOP98-a","PtCl2","aq","cal",-7.11,2.29,
"SLOP98-a","PtCl3-","aq","cal",-10.48,1.78,
"SLOP98-a","PtCl4-2","aq","cal",-13.86,,
"SLOP98-a","Pt(SO4)3-4","aq","cal",,-1.79,-2915
"SLOP98-a","UO4-2","aq","cal",,-1.11,
"SLOP98-a","AuCl4-3","aq","cal",,,117800
"SLOP98-a","ZnCl3-","aq","cal",,,2264
"SLOP98-a","Zn(Ac)+","aq","cal",,,-4547
"SLOP98-a","Zn(Ac)3-","aq","cal",,,-13968
"SLOP98-a","Al+3","aq","cal",1.74,,
"SLOP98-a","Th+4","aq","cal",,-1.14,
"SLOP98-a","AsO4-3","aq","cal",,-1.65,
"SLOP98-a","HNbO3","aq","cal",,,-1244
"SLOP98-a","ZnO2-2","aq","cal",,-1.17,
"SLOP98-a","PdCl4-2","aq","cal",,-1.05,
"SLOP98-b","La(Ac)2+","aq","cal",,,-779
"SLOP98-b","Sm(Ac)+2","aq","cal",,,-660
"SLOP98-b","Sm(Ac)2+","aq","cal",,,-621
"SLOP98-b","Ca(Ac)2","aq","cal",,,-1006
"SLOP98-b","La(Ac)3","aq","cal",,,-564
"SLOP98-b","Ce(Ac)+2","aq","cal",,,797
"SLOP98-b","Ce(Ac)2+","aq","cal",,,567
"SLOP98-b","Fe(For)+","aq","cal",,,587
"SLOP98-b","Fe(For)2","aq","cal",,,639
"SLOP98-b","Mg(But)2","aq","cal",,,-3347811
"SLOP98-b","Yb(But)+2","aq","cal",,,665
"SLOP98-b","Fe(Pent)2","aq","cal",,,532
"SLOP98-b","BaHCO3+","aq","cal",,,-5800
"SLOP98-b","LaSO4+","aq","cal",-6.02,,
"SLOP98-b","CeNO3+2","aq","cal",,,874
"SLOP98-b","NdF2+","aq","cal",16.64,6.19,
"SLOP98-b","EuF+","aq","cal",4.11,-19.19,
"SLOP98-b","EuF2","aq","cal",9.75,-40.4,
"SLOP98-b","EuF3-","aq","cal",17.18,-64.45,
"SLOP98-b","EuF4-2","aq","cal",26.07,-91.02,
"SLOP98-b","EuCl+","aq","cal",-4.11,19.2,
"SLOP98-b","EuCl2","aq","cal",-9.84,40.4,
"SLOP98-b","EuCl3-","aq","cal",-17.19,64.47,
"SLOP98-b","EuCl4-2","aq","cal",-26.15,91.04,
"SLOP98-b","TbO+","aq","cal",,,-8907
"SLOP98-b","TmCO3+","aq","cal",,,22940
"SLOP98-b","Li(Mal)-","aq","cal",,-3.22,
"SLOP98-b","Al(Mal)+","aq","cal",,-2.19,
"SLOP98-b","Pb(Mal)","aq","cal",,1.16,
"SLOP98-b","Pb(Succ)","aq","cal",,1.49,
"SLOP98-b","Na(Oxal)-","aq","cal",,-3.14,
"SLOP98-b","K(Oxal)-","aq","cal",,-2.75,
"SLOP98-b","Fe(Oxal)+","aq","cal",,-2.19,
"SLOP98-b","Na(Mal)-","aq","cal",,-3.11,
"SLOP98-b","K(Mal)-","aq","cal",,-2.63,
"SLOP98-b","La(Mal)+","aq","cal",,-1.92,
"SLOP98-b","Gd(Mal)+","aq","cal",,-1.73,
"SLOP98-b","Lu(Mal)+","aq","cal",,-2.25,
"SLOP98-b","Yb(Mal)+","aq","cal",,-2.05,
"SLOP98-b","Th(Mal)+2","aq","cal",-1.29,-4.79,
"SLOP98-b","Ce(Mal)+","aq","cal",,-1.75,
"SLOP98-b","Nd(Mal)+","aq","cal",4.52,,
"SLOP98-b","Sm(Mal)+","aq","cal",,-1.77,
"SLOP98-b","Pr(Mal)+","aq","cal",,-1.75,
"SLOP98-b","Eu(Mal)+","aq","cal",,-1.87,
"SLOP98-b","Tb(Mal)+","aq","cal",,-1.92,
"SLOP98-b","Dy(Mal)+","aq","cal",,-1.89,
"SLOP98-b","Tm(Mal)+","aq","cal",,-2.08,
"SLOP98-b","Ho(Mal)+","aq","cal",,-2.08,
"SLOP98-b","Er(Mal)+","aq","cal",,-2.11,
"SLOP98-b","Sc(Mal)+","aq","cal",,-1.97,
"SLOP98-b","Fe(Mal)+","aq","cal",,-1.97,
"SLOP98-b","Na(Succ)-","aq","cal",,-2.82,
"SLOP98-b","K(Succ)-","aq","cal",,-2.39,
"SLOP98-b","Th(Succ)+2","aq","cal",-1.21,-4.47,
"SLOP98-b","NH4(Oxal)-","aq","cal",,-2.62,
"SLOP98-b","Al(Oxal)+","aq","cal",,-2.62,
"SLOP98-b","Yb(Oxal)+","aq","cal",,-2.02,
"SLOP98-b","Ce(Oxal)+","aq","cal",,-1.8,
"SLOP98-b","Nd(Oxal)+","aq","cal",,-1.8,
"SLOP98-b","Eu(Oxal)+","aq","cal",,-1.89,
"SLOP98-b","Gd(Oxal)+","aq","cal",,-1.8,
"SLOP98-b","Ru(Oxal)+","aq","cal",,-2.41,
"SLOP98-b","Pa(Oxal)+2","aq","cal",-1.25,-4.63,
"SLOP98-b","Th(Oxal)+2","aq","cal",-1.27,-4.69,
"SLOP98-b","U(Oxal)+2","aq","cal",-1.25,-4.63,
"SLOP98-b","Np(Oxal)+2","aq","cal",-1.27,-4.69,2753
"SLOP98-b","PuO2(Oxal)","aq","cal",,,2913
"SLOP98-b","Am(Oxal)+","aq","cal",,-1.8,3036
"SLOP98-b","Cm(Oxal)+","aq","cal",,-1.8,3834
"SLOP98-b","Y(Oxal)+","aq","cal",,-2.11,
"SLOP98-b","La(Oxal)+","aq","cal",,-1.87,
"SLOP98-b","Tb(Oxal)+","aq","cal",,-1.92,
"SLOP98-b","Er(Oxal)+","aq","cal",,-2.05,
"SLOP98-b","Lu(Oxal)+","aq","cal",,-2.19,
"SLOP98-b","Cr(Oxal)+","aq","cal",,-2.58,
"SLOP98-b","Ga(Oxal)+","aq","cal",,-2.66,
"SLOP98-b","Sc(Oxal)+","aq","cal",,-2.13,
"SLOP98-b","In(Oxal)+","aq","cal",,-2.19,
"SLOP98-b","Pu(Oxal)+2","aq","cal",-1.2,-4.44,-1743
"SLOP98-b","NpO2(Oxal)","aq","cal",,-1.94,2729
"SLOP98-b","Sm(Oxal)+","aq","cal",,-1.84,
"SLOP98-b","Cs(Mal)-","aq","cal",,-2.39,
"SLOP98-b","NH4(Mal)-","aq","cal",,-2.54,
"SLOP98-b","In(Mal)+","aq","cal",,-2.11,
"SLOP98-b","Y(Mal)+","aq","cal",,-2.02,29999
"SLOP98-b","La(Succ)+","aq","cal",,-1.52,
"SLOP98-b","NH4(Succ)-","aq","cal",,-2.26,
"SLOP98-b","Fe(Succ)+","aq","cal",,-1.92,
"SLOP98-b","Sc(Succ)+","aq","cal",,-1.77,
"SLOP98-b","PuO2(Succ)","aq","cal",,,2912
"SLOP98-b","NpO2(Succ)","aq","cal",,-3.16,2728
"SLOP98-b","Sm(Succ)+","aq","cal",,-1.48,
"SLOP98-b","Er(Succ)+","aq","cal",,-1.68,
"SLOP98-b","U(Succ)+2","aq","cal",-1.15,-4.27,
"SLOP98-b","La(Glut)+","aq","cal",,-1.23,
"SLOP98-b","Y(Glut)+","aq","cal",,-1.46,
"SLOP98-b","Sc(Glut)+","aq","cal",,-1.5,
"SLOP98-b","Th(Glut)+2","aq","cal",-1.09,-4.05,
"SLOP98-b","Fe(Glut)+","aq","cal",,-1.05,
"SLOP98-b","Sm(Glut)+","aq","cal",,-1.2,
"SLOP98-b","NpO2(Glut)","aq","cal",,,2728
"SLOP98-b","Er(Glut)+","aq","cal",,-1.4,-4673
"SLOP98-b","Ba(Adip)","aq","cal",,1.19,
"SLOP98-b","Pb(Adip)","aq","cal",,1.25,
"SLOP98-b","Sc(Adip)+","aq","cal",,-1.22,
"SLOP98-b","Th(Adip)+2","aq","cal",-1.02,-3.76,
"SLOP98-b","U(Adip)+2","aq","cal",-1,-3.71,
"SLOP98-b","Li(Oxal)-","aq","cal",,-3.3,
"SLOP98-b","Li(Succ)-","aq","cal",,-2.94,
"SLOP98-b","Na(Glut)-","aq","cal",,-2.34,
"SLOP98-b","K(Glut)-","aq","cal",,-2.05,
"SLOP98-b","Li(Glut)-","aq","cal",,-2.66,
"SLOP98-b","Na(Adip)-","aq","cal",,-2.05,
"SLOP98-b","K(Adip)-","aq","cal",,-1.76,
"SLOP98-b","Li(Adip)-","aq","cal",,-2.38,
"SLOP98-b","MgAsO4-","aq","cal",1.3,,
"SLOP98-b","MnAsO4-","aq","cal",-1.45,,
"SLOP98-b","RuCrO4+2","aq","cal",,,-4659
"SLOP98-b","AmCrO4+2","aq","cal",,,-4654
"SUPCRT92","almandine","cr","cal",4.43,,
"SUPCRT92","antigorite","cr","cal",,,812
"SUPCRT92","clinochlore,7A","cr","cal",,,666
"SUPCRT92","daphnite,14A","cr","cal",,,-836
"SUPCRT92","ferrosilite","cr","cal",,,694
"SUPCRT92","ferrosilite","cr2","cal",,,694
"SUPCRT92","glaucophane","cr","cal",-2.57,,
"SUPCRT92","greenalite","cr","cal",,,142507
"SUPCRT92","grunerite","cr","cal",9.72,,
"SUPCRT92","halloysite","cr","cal",-1.6,,
"Sandia","2-1-4 phase","cr","J",-4.39,,
