x,y,pch
1.282,7.566,25
1.304,7.614,25
1.393,7.906,25
1.476,8.175,25
1.479,8.112,25
1.546,8.184,25
1.654,8.548,25
1.651,8.429,25
1.732,8.627,25
1.732,8.493,25
1.599,7.222,0
1.619,7.294,0
1.646,7.404,0
1.682,7.444,0
1.716,7.492,0
1.766,7.547,0
1.785,7.603,0
1.816,7.619,0
1.835,7.619,0
1.863,7.619,0
1.885,7.619,0
1.922,7.596,0
1.961,7.596,0
1.999,7.605,0
2.038,7.597,0
2.072,7.605,0
2.105,7.606,0
2.141,7.582,0
2.166,7.575,0
2.2,7.567,0
2.239,7.552,0
2.28,7.529,0
2.303,7.466,0
2.35,7.506,0
2.392,7.506,0
2.433,7.483,0
2.458,7.42,0
2.517,7.444,0
2.567,7.421,0
2.6,7.398,0
2.634,7.414,0
2.678,7.382,0
2.695,7.32,0
2.742,7.312,0
2.745,7.241,0
2.806,7.218,0
2.851,7.195,0
2.92,7.14,0
2.912,7.038,0
2.995,7.094,0
3.048,7.023,0
3.054,6.866,0
3.101,6.795,0
3.148,6.717,0
1.663,7.184,23
1.744,7.389,23
1.688,7.018,1
1.719,6.979,1
1.752,7.098,1
1.769,7.169,1
1.816,7.311,1
1.863,7.391,1
1.902,7.493,1
1.947,7.525,1
1.988,7.565,1
2.041,7.574,1
2.041,7.708,1
2.091,7.669,1
2.133,7.638,1
2.155,7.59,1
2.272,7.584,1
2.342,7.576,1
2.419,7.554,1
2.408,7.506,1
2.675,7.312,1
2.792,7.194,1
3.001,6.936,1
3.193,6.607,1
3.246,6.528,1
3.371,6.285,1
3.396,6.199,1
3.402,6.096,2
3.301,6.395,2
3.357,6.301,2
3.468,6.034,2
3.527,5.893,2
3.594,5.728,2
3.661,5.586,2
