x,y,pch
1.67,7.577,24
1.742,7.861,24
1.909,8.341,24
2.11,8.657,24
2.361,8.744,24
2.678,8.541,24
1.567,7.348,1
1.606,7.608,1
1.642,7.789,1
1.687,7.931,1
1.726,8.057,1
1.773,8.176,1
1.823,8.27,1
1.87,8.373,1
1.929,8.452,1
1.987,8.523,1
2.043,8.586,1
2.11,8.649,1
2.177,8.681,1
2.255,8.72,1
2.333,8.729,1
2.416,8.713,1
2.508,8.698,1
2.609,8.643,1
2.712,8.549,1
2.837,8.407,1
2.871,8.337,1
2.913,8.274,1
2.955,8.203,1
2.996,8.124,1
3.044,8.054,1
3.097,7.959,1
3.139,7.873,1
3.194,7.763,1
3.242,7.653,1
3.295,7.535,1
3.351,7.401,1
3.409,7.26,1
3.465,7.126,1
3.527,6.953,1
3.588,6.772,1
3.658,6.575,1
2.291,8.673,5
2.352,8.674,5
2.411,8.689,5
2.467,8.666,5
2.528,8.643,5
2.598,8.596,5
2.667,8.556,5
2.737,8.478,5
2.818,8.376,5
2.896,8.282,5
2.985,8.132,5
3.075,7.967,5
3.169,7.771,5
3.278,7.574,5
3.387,7.307,5
3.504,7.016,5
3.63,6.693,5
1.147,6.449,18
1.219,6.505,18
1.3,6.702,18
1.386,7.237,18
1.483,7.915,18
1.544,8.506,18
1.562,7.136,0
1.584,7.372,0
1.606,7.498,0
