species,T,P,V
CH4,298.15,28,37.2
CH4,323.15,28.01,37.5
CH4,373.15,28,40.7
CH4,423.15,28,46
CH4,473.35,27.99,54.4
CH4,523.15,27.99,65.5
CH4,573.15,28,92.6
CH4,623.15,28,167.6
CH4,653.05,28.01,463
CH4,657.18,28,608
CH4,660.34,28,818
CH4,663.42,28,1183
CH4,666.25,28,1625
CH4,668.11,28,1787
CH4,670.06,28,1754
CH4,674.53,28.01,1289
CH4,678.87,28.01,981
CH4,685.47,28,742
CH4,705.28,28,476
CH4,298.15,35,36.3
CH4,323.15,35,37.1
CH4,373.15,34.99,40.3
CH4,423.14,35,45.8
CH4,473.15,34.99,53.8
CH4,523.15,35,64.1
CH4,573.15,35,87.3
CH4,623.15,35,136.1
CH4,668.23,34.99,342
CH4,685.59,35,682
CH4,694.98,35,761
CH4,705.45,35,631
CO2,298.15,1,34.4
CO2,298.15,20,33.4
CO2,323.15,20.01,33.8
CO2,373.15,20,37.8
CO2,423.15,20,42.7
CO2,473.35,19.99,50
CO2,523.15,19.99,61.8
CO2,573.15,20,84.6
CO2,623.15,28,133.6
CO2,653.05,28.01,349
CO2,657.18,28,476
CO2,660.33,28,644
CO2,663.41,28,914
CO2,666.28,28,1257
CO2,668.18,28,1397
CO2,670.06,28,1382
CO2,674.52,28.01,1040
CO2,678.87,28.01,811
CO2,685.46,28,607
CO2,705.3,28,409
CO2,298.15,35,33.5
CO2,323.15,35,33.7
CO2,373.15,34.99,37.2
CO2,423.15,35,41.9
CO2,473.35,34.99,48.4
CO2,523.15,35,57.7
CO2,573.15,35,74.1
CO2,623.15,35,112.8
CO2,668.23,34.99,283.7
CO2,685.62,35,570
CO2,695.14,35,623
CO2,705.38,35,534
H2S,298.15,1,34.8
H2S,298.15,20,34.8
H2S,323.15,20.01,36
H2S,373.15,20,39
H2S,423.15,20,43
H2S,473.35,19.99,49.2
H2S,523.15,19.99,58.3
H2S,573.15,20,76.6
H2S,623.15,28,113.7
H2S,653.05,28.01,278.7
H2S,657.47,28,395
H2S,660.33,28,513
H2S,663.42,28,736
H2S,668.11,28,1120
H2S,674.55,28,799
H2S,678.88,28,619
H2S,685.49,28.01,479
H2S,705.3,28.01,338
H2S,298.15,35,35
H2S,323.15,35,35.8
H2S,373.15,35,38.4
H2S,423.15,35,42.5
H2S,473.35,34.99,47.7
H2S,523.15,35,55.2
H2S,573.15,34.99,67.9
H2S,623.15,35,97.1
H2S,668.21,35,218.2
H2S,685.57,35,419
H2S,694.98,34.99,468
H2S,705.53,35,405
NH3,298.16,20,24.63
NH3,298.15,28.01,24.49
NH3,373.15,10,26.86
NH3,382.8,10.68,26.81
NH3,393.65,10.62,27.24
NH3,400.75,10.49,27.77
NH3,403.05,10.5,27.67
NH3,413.8,10.5,28.35
NH3,448.27,10.01,30.2
NH3,523.15,10,37.3
NH3,573.3,10,49.7
NH3,623.15,28,63.6
NH3,653.05,28,139.5
NH3,657.1,28,171.5
NH3,660.27,28,231.6
NH3,663.38,28.01,327
NH3,666.15,28.01,458
NH3,668.24,28,540
NH3,670.1,28,544
NH3,674.58,28,429
NH3,678.85,28,342
NH3,685.41,27.99,281
NH3,705.23,28,218.8
NH3,298.15,36.99,24.35
NH3,373.15,35,26.45
NH3,448.28,35,29.36
NH3,523.15,35,35.2
NH3,573.27,34.99,40.7
NH3,623.15,35,56.8
NH3,668.43,35,116.9
NH3,685.71,35,226.1
NH3,695.18,35,259.9
NH3,705.32,35,240.3
NH3,298.15,0.1,24.8
NH3,298.15,20,24.91
NH3,298.15,28,24.34
NH3,382.83,10.69,27.05
NH3,623.15,28,63.5
NH3,653.05,27.99,140.1
NH3,657.1,28,179.4
NH3,660.27,28,238.9
NH3,663.38,28,338
NH3,666.15,27.99,475
NH3,668.24,27.99,534
NH3,670.1,28,539
NH3,674.58,28,426
NH3,678.85,28,347
NH3,685.41,28.01,289.3
NH3,705.23,28,230
NH3,298.15,37,24.57
NH3,668.43,35,118.6
NH3,685.71,35,227.8
NH3,695.18,35,261.3
NH3,705.32,35,239.8
NH3,298.15,0.1,24.8
NH3,298.16,20,24.82
NH3,298.15,28,24.6
NH3,448.25,9.99,30.4
NH3,523.15,10,37.6
NH3,573.28,10.01,50.7
NH3,623.15,27.99,64.9
NH3,653.05,28,148.6
NH3,657.11,28,189.4
NH3,660.27,28,258.1
NH3,663.39,28,364
NH3,666.23,27.99,491
NH3,668.2,28,535
NH3,670.1,28,522
NH3,674.6,28,415
NH3,678.85,27.99,342
NH3,685.42,28,290
NH3,705.23,28,235.1
NH3,298.15,37,24.3
NH3,373.15,35,26.4
NH3,448.27,35,29.5
NH3,523.15,34.99,34.8
NH3,573.28,35,41.8
NH3,623.15,35,57.5
NH3,668.43,35.01,122.4
NH3,685.52,35,229
NH3,695.22,34.99,259.8
NH3,705.5,34.99,239.2
NH3,298.15,0.1,24.86
NH3,298.16,20,24.68
NH3,298.15,28,24.64
NH3,382.9,10.68,27.25
NH3,448.25,10,30.7
NH3,523.15,10,37.9
NH3,573.31,10,51.5
NH3,623.15,27.99,66.4
NH3,653.15,28,166.4
NH3,657.12,28,219.1
NH3,660.29,28,301
NH3,663.37,28,412
NH3,666.23,28,508
NH3,668.19,28,520
NH3,670.1,27.99,497
NH3,674.61,28,400
NH3,678.86,27.99,335
NH3,685.42,28,287.3
NH3,705.43,28,239.5
NH3,298.15,36.99,24.74
NH3,373.15,35,26.49
NH3,448.27,35,29.66
NH3,523.17,35,35.2
NH3,573.27,34.99,42.4
NH3,623.15,35,58.8
NH3,668.43,35,127.2
NH3,685.61,35,234
NH3,695.12,34.99,257.7
NH3,705.39,35,241.8
NH3,298.15,0.1,24.8
NH3,298.16,20.01,24.69
NH3,298.15,28,24.51
NH3,400.75,10.5,27.87
NH3,403.05,10.49,27.98
NH3,413.85,10.5,28.54
NH3,623.15,27.99,67.8
NH3,653.05,28.01,184.9
NH3,657.12,28.01,252.6
NH3,660.29,28,340
NH3,663.38,27.99,432
NH3,666.18,27.99,484
NH3,668.19,28,475
NH3,670.09,28,452
NH3,674.5,28.01,369
NH3,678.87,28,318
NH3,685.44,27.99,273.5
NH3,705.33,28,232.1
NH3,298.15,37,24.58
NH3,623.15,35.01,58.8
NH3,668.42,35,135.4
NH3,685.67,35.01,235.1
NH3,695.1,35.01,250.7
NH3,705.65,35,229.6
