name,GfPrTr,HfPrTr,SPrTr,VPrTr,k0,k1,k2,k3,k4,k5,k6,v1,v2,v3,v4,Tlambda,Tref,dTdP,l1,l2,DtH,Tmax,Tmin,d0,d1,d2,d3,d4,Vad
fluormuscovite,-5772803,-6111401,299.03,14.087,680.36024,-6515.743,0,110583120,0,0,0,3.35273302,0,-0.17169021,0.00042947,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
fluorphlogopite,-6063382,-6403168,336.394,14.637,653.70816,-5175.19,0,-324594720,0,0,0,3.44473262,0,-0.16969784,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
fluorannite,-4983910,-5293254,422.291,15.075,742.82736,-6817.41,0,418441840,0,0,0,3.44473262,0,-0.16969784,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
fluortremolite,-11782144,-12457969,570.279,27.045,1272.64728,-9493.496,0,-10517739.2,0,0,0,2.43738877,0.00098338,-0.13917727,0.00034809,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
fluorapatite,-6443050,-6823447,387.857,15.753,668.77056,-4534.201,0,-746341920,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
hydroxyapatite,-6297702,-6694689,398.735,15.822,758.81024,-6480.598,0,-447939040,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
chlorapatite,-6217424,-6597260,399.907,16.403,663.87528,-4435.877,0,-690234480,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
fluortalc,-5717018,-6056244,264.052,13.33,602.74704,-4766.831,0,-292588712,0,0,0,2.94468112,0,-0.16988979,0.0005665,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
chlorphlogopite,-5600840,-5939422,360.703,16.59,573.45904,-2063.549,-16465713.6,2105765360,0,0,0,3.44473262,0,-0.16969784,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
chlorannite,-4582036,-4890196,449.529,17.247,690.44368,-4760.137,-8725313.6,1376828880,0,0,0,3.44473262,0,-0.16969784,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
