name,GfPrTr,HfPrTr,SPrTr,VPrTr,k0,k1,k2,k3,k4,k5,k6,v1,v2,v3,v4,Tlambda,Tref,dTdP,l1,l2,DtH,Tmax,Tmin,d0,d1,d2,d3,d4,Vad
akermanite,-3663786,-3860441,212,9.252,387.06,-2938.8,0,-40790000,0,0,0,2.5011,0.00067224,-0.0785,0,358,298,0,0,0,452,,,,,,,,
albite,-3711715,-3935100,207.443,10.043,393.64,-2415.5,-7892800,1070640000,0,0,0,2.6307,0.00032407,-0.1945,0.0004861,,,,,,,,,,,,,,
"albite,high",-3703293,-3921618,224.412,10.083,393.64,-2415.5,-7892800,1070640000,0,0,0,2.6307,0.00032407,-0.1945,0.0004861,,,,,,,,,,,,,,
"albite,low",-3711715,-3935100,207.443,10.043,393.64,-2415.5,-7892800,1070640000,0,0,0,2.6307,0.00032407,-0.1945,0.0004861,,,,,,,,,,,,,,
almandine,-4941728,-5265502,339.927,11.511,573.96,-1483.1,-29292000,5022080000,0,0,0,1.8613,0.00074539,-0.0558,3.21E-05,,,,,,,,,,,,,,
andalusite,-2441806,-2589972,91.434,5.147,236.48,-1102.9,-7526800,936440000,0,0,0,2.3443,7.189E-05,-0.077,0.0001923,,,,,,,,,,,,,,
anorthite,-4003221,-4228730,200.186,10.075,439.37,-3734.1,0,-317020000,0,0,0,1.0918,0.00041985,-0.1272,0.0003176,,,,,,,,,,,,,,
anthophyllite,-11342582,-12069032,535.195,26.56,1219.31,-5766.5,-34766100,4400900000,0,0,0,2.706,0.00031325,-0.1259,0,,,,,,,,,,,,,,
antigorite,-66076529,-71364156,3602.996,174.246,7394.51,0,-548363000,87284120000,0,0,0,2.4965,0.00039444,-0.1978,0.0004944,,,,,,,,,,,,,,
brucite,-834868,-925937,63.064,2.468,136.84,-537.1,-4361900,552690000,0,0,0,3.2854,0.0001094,-0.2023,0.0006726,,,,,,,,,,,,,,
Ca-Al-pyroxene,-3122310,-3298767,140.751,6.356,310.7,-1671.6,-7455300,948780000,0,0,0,2.225,0.00052863,-0.087,0.0002171,,,,,,,,,,,,,,
calcite,-1128295,-1206819,91.725,3.69,178.19,-1657.7,-482700,166600000,0,0,0,0.8907,0.00227402,-0.14,0,,,,,,,,,,,,,,
chrysotile,-4035373,-4363356,220.134,10.72,610.02,-5581.2,-1857300,195470000,0,0,0,2.7151,0.00067351,-0.181,0.0004524,,,,,,,,,,,,,,
clinochlore,-8250546,-8909590,435.154,21.147,1214.28,-11217.1,0,-1256250000,0,0,0,2.6452,0,-0.1819,0,,,,,,,,,,,,,,
coesite,-852585,-907604,39.424,2.064,94.907,-767.3,-527900,26270000,0,0,0,0.7396,0.00043605,-0.1037,0.0003,,,,,,,,,,,,,,
cordierite,-8651517,-9158727,417.97,23.311,954.39,-7962.3,-2317300,-370210000,0,0,0,0.3003,0.00018017,-0.1158,0,,,,,,,,,,,,,,
corundum,-1582199,-1675700,50.82,2.558,155.02,-828.4,-3861400,409080000,0,0,0,2.1342,0.0004718,-0.0385,3.75E-05,,,,,,,,,,,,,,
"cristobalite,alpha",-853918,-907753,43.394,2.587,83.51,-374.7,-2455400,280070000,0,0,0,2.0824,0,-0.2515,0,535,298,0.048,-0.14216,0.00044142,0,,,,,,,,
"cristobalite,beta",-853327,-906377,46.029,2.73,83.51,-374.7,-2455400,280070000,0,0,0,0.3189,0,-0.11,0.0005535,,,,,,,,,,,,,,
diaspore,-920806,-999378,35.308,1.776,143.24,-1540.4,-323100,64630000,0,0,0,2.9718,0,-0.0599,0,,,,,,,,,,,,,,
diopside,-3026202,-3200583,142.5,6.62,305.41,-1604.9,-7166000,921840000,0,0,0,2.7795,0.00083082,-0.0872,0.0001707,,,,,,,,,,,,,,
dolomite,-2162354,-2325248,154.89,6.432,328.48,-2554.4,-4688500,790380000,0,0,0,1.423,0.00363778,-0.107,0,,,,,,,1423,298,-9.42,0,385000,0.01732,5.02E-06,0
"enstatite,clino",-1458601,-1545926,66.325,3.131,139.96,-497,-4400200,535710000,0,0,0,2.1915,0.0007492,-0.075,4.48E-05,,,,,,,,,,,,,,
enstatite,-1458181,-1545552,66.17,3.133,166.58,-1200.6,-2270600,279150000,0,0,0,2.4656,0.0007467,-0.0749,4.47E-05,,,,,,,,,,,,,,
"enstatite,proto",-1456965,-1543959,67.438,3.242,166.58,-1200.6,-2270600,279150000,0,0,0,1.6832,0.0011665,-0.075,4.48E-05,,,,,,,,,,,,,,
fayalite,-1380154,-1479360,150.93,4.63,248.93,-1923.9,0,-139100000,0,0,0,2.6546,0.00079482,-0.073,0,,,,,,,,,,,,,,
ferrosilite,-1117472,-1194375,95.882,3.296,169.06,-1193,-2097100,292530000,0,0,0,3.1808,0.0007585,-0.099,0,,,,,,,,,,,,,,
forsterite,-2055023,-2174420,94.01,4.366,238.64,-2001.3,0,-116240000,0,0,0,2.9464,0.00088633,-0.0791,0.0001351,,,,,,,,,,,,,,
gehlenite,-3785954,-3988158,198.6,9.033,373.09,-2276.8,-4778500,477910000,0,0,0,2.4926,5.664E-05,-0.0996,0.0002488,,,,,,,1600,698,-221.74,0,17291000,0.3695,-0.0001469,0
grossular,-6270974,-6632859,255.15,12.538,573.43,-2039.4,-18887200,2319310000,0,0,0,1.8994,0.00079756,-0.0654,0.0001635,,,,,,,,,,,,,,
hematite,-743681,-825627,87.437,3.027,146.86,0,-5576800,525630000,0,0,0,3.831,1.65E-05,-0.0479,3.04E-05,955,298,0,-0.07403,0.00027921,1287,,,,,,,,
ilmenite,-1155320,-1231947,108.628,3.17,150,-441.6,-3323700,348150000,0,0,0,2.7248,0.00029968,-0.0584,0.000123,,,,,,,,,,,,,,
jadeite,-2846482,-3025118,133.574,6.034,311.29,-2005.1,-5350300,662570000,0,0,0,2.3118,0.00025785,-0.086,0.0002149,,,,,,,,,,,,,,
kaolinite,-3799770,-4120327,203.7,9.952,523.23,-4426.7,-2244300,92310000,0,0,0,3.2,0,-0.12,0,,,,,,,,,,,,,,
kyanite,-2443370,-2594220,82.43,4.412,262.68,-2001.4,-1999700,-63180000,0,0,0,2.3973,0,-0.0646,0,,,,,,,,,,,,,,
lawsonite,-4509709,-4865666,229.176,10.144,728.67,-8248.1,0,850560000,0,0,0,2.6283,0,-0.0769,0.0001922,,,,,,,,,,,,,,
lime,-603350,-635090,37.75,1.676,58.79,-133.9,-1147100,102980000,0,0,0,3.461,0.00067406,-0.1022,0.0002565,,,,,,,,,,,,,,
magnesite,-1029875,-1113636,65.21,2.803,162.3,-1109.3,-4882600,874660000,0,0,0,1.8436,0.00415968,-0.089,0.0002212,,,,,,,,,,,,,,
magnetite,-1014235,-1117403,146.114,4.452,207.93,0,-7243300,664360000,0,0,0,3.0291,0.0013847,-0.0582,0.0001751,848,298,0,-0.19502,0.00061037,1565,,,,,,,,
