name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
acanthite,Acn,Ag2S,cr,HDNB78,NA,1978-05-05,CGL,cal,-9446,-7550,34.3,NA,34.2,15.63,0.0086,0,0,0,0,0,450
acanthite,Acn,Ag2S,cr2,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-9235.197,-7024.866,35.3543,NA,34.2,1.819,0.053,0,0,0,0,0,620
acanthite,Acn,Ag2S,cr3,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-8227.324,-4960.457,38.898,NA,34.2,21.6,0,0,0,0,0,0,1000
alabandite,Alb,MnS,cr,HDNB78,NA,1978-05-05,CGL,cal,-52178,-51000,19.2,NA,21.46,11.4,0.0018,0,0,0,0,0,1803
alunite,Alu,KAl3(OH)6(SO4)2,cr,HDNB78,NA,1978-05-05,CGL,cal,-1113600,-1235600,78.4,NA,293.6,153.45,0,-5495000,0,0,0,0,650
anglesite,Ang,PbSO4,cr,HDNB78,NA,1978-05-05,CGL,cal,-194353,-219870,35.51,NA,47.95,10.96,0.031,420000,0,0,0,0,1100
anhydrite,Anh,CaSO4,cr,HDNB78,RH95.7,1978-05-05,CGL_Ttr,cal,-315925,-342760,25.5,NA,45.94,16.78,0.0236,0,0,0,0,0,1723
artinite,Art,Mg2(OH)2(CO3)*3H2O,cr,HDNB78,NA,1978-05-05,CGL,cal,-613915,-698043,55.67,NA,96.9,70.87,0.02766,-743000,0,0,0,0,1000
azurite,Azr,Cu3(OH)2(CO3)2,cr,HDNB78,NA,1978-05-05,CGL,cal,-334417,-390100,66.97,NA,91.01,36.88,0.07744,-92000,0,0,0,0,780
barite,Brt,BaSO4,cr,HDNB78,NA,1978-05-05,CGL,cal,-325563,-352100,31.6,NA,52.1,33.8,0,-843000,0,0,0,0,1422
bornite,Bn,Cu5FeS4,cr,HDNB78,PK70,1978-05-05,CGL,cal,-86704,-79922,99.29,NA,98.6,49.76,0.03508,-135000,0,0,0,0,485
bornite,Bn,Cu5FeS4,cr2,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-86373.231,-78463.256,103.0733,NA,98.6,-34.31,0.247,0,0,0,0,0,540
bornite,Bn,Cu5FeS4,cr3,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-86513.642,-80947.917,95.2106,NA,98.6,80.33,-0.00204,0,0,0,0,0,1200
bunsenite,Bsn,NiO,cr,HDNB78,NA,1978-05-05,CGL,cal,-50573,-57300,9.08,NA,10.97,-4.99,0.03758,389000,0,0,0,0,525
bunsenite,Bsn,NiO,cr2,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-50581.657,-57508.213,8.4107,NA,10.97,13.88,0,0,0,0,0,0,565
bunsenite,Bsn,NiO,cr3,HDNB78,RH95.7,1978-05-05,CGL_Ttr,cal,-50447.661,-57020.353,9.5976,NA,10.97,11.18,0.00202,0,0,0,0,0,2257
bromellite,Brm,BeO,cr,HDNB78,RH95.6,2020-07-06,CGL_Ttr,cal,-138647,-145650,3.29,6.11,8.309,8.45,0.004,-317000,0,0,0,0,2681
celestite,Cls,SrSO4,cr,RA87,HDNB78.2,2019-01-15,CGL,cal,-321736.8,-348671.3,28.66216,NA,46.25,21.8,0.0133,0,0,0,0,0,1500
cerussite,Cer,PbCO3,cr,HDNB78,NA,1978-05-05,CGL,cal,-150370,-168000,31.3,NA,40.59,12.39,0.0286,0,0,0,0,0,800
chalcocite,Cct,Cu2S,cr,HDNB78,NA,1978-05-05,CGL,cal,-20626,-19000,28.9,NA,27.48,12.63,0.01882,0,0,0,0,0,376
chalcocite,Cct,Cu2S,cr2,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-20479.051,-18494.843,30.1015,NA,27.48,26.78,-0.00735,0,0,0,0,0,717
chalcocite,Cct,Cu2S,cr3,HDNB78,RH95.7,1978-05-05,CGL_Ttr,cal,-19940.435,-17064.666,33.0917,NA,27.48,20.32,0,0,0,0,0,0,1403
chalcopyrite,Ccp,CuFeS2,cr,HDNB78,PK70,1978-05-05,CGL,cal,-44900,-44453,31.15,NA,42.83,20.79,0.0128,-134000,0,0,0,0,830
chalcopyrite,Ccp,CuFeS2,cr2,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-34590.133,-15235.889,94.5651,NA,42.83,-141.4,0.21,0,0,0,0,0,930
chalcopyrite,Ccp,CuFeS2,cr3,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-46119.409,-49143.645,19.5073,NA,42.83,41.22,0,0,0,0,0,0,1200
chlorargyrite,Crg,AgCl,cr,RHF78,Pan70,1978-05-05,CGL_Ttr,cal,-26247,-30370,23,NA,25.727,14.33,0.001821,-243000,0,0,0,0,728
cinnabar,Cin,HgS,cr,HDNB78,NA,1978-05-05,CGL_Ttr,cal,-10940,-12750,19.7,NA,28.416,10.46,0.00372,0,0,0,0,0,618
copper,Cu,Cu,cr,HDNB78,NA,1978-05-05,CGL_Ttr,cal,0,0,7.923,NA,7.113,5.41,0.0015,0,0,0,0,0,1357
