name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
"arsenic,alpha",NA,As,cr,NA03,ZZL+16.1,16.Oct.17,0,0,8.515774378585085,5.838910133843212,12.96,NA,NA,NA,NA,NA,NA,NA,NA
arsenolite,NA,As2O3,cr,NA03,NA,16.Oct.17,-137748.56596558317,-157091.3001912046,25.664435946462714,23.154875717017205,NA,NA,NA,NA,NA,NA,NA,NA,NA
claudetite,NA,As2O3,cr,NA03,NA,16.Oct.17,-137793.97705544933,-156708.8910133843,27.09608030592734,23.178776290630974,NA,NA,NA,NA,NA,NA,NA,NA,NA
As2O5,NA,As2O5,cr,NA03,NA,16.Oct.17,-185172.08413001912,-219309.27342256214,25.20076481835564,27.70076481835564,NA,NA,NA,NA,NA,NA,NA,NA,NA
"realgar,alpha",NA,AsS,cr,NA03,NA,16.Oct.17,-7480.879541108986,-7600.38240917782,15.033460803059272,11.233269598470363,NA,NA,NA,NA,NA,NA,NA,NA,NA
"realgar,beta",NA,AsS,cr,NA03,NA,16.Oct.17,-7385.277246653919,-7409.177820267686,15.176864244741873,11.233269598470363,NA,NA,NA,NA,NA,NA,NA,NA,NA
orpiment,NA,As2S3,cr,NA03,NA,16.Oct.17,-20291.586998087954,-20506.692160611852,39.14913957934991,38.95793499043977,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orpiment,amorphous",NA,As2S3,cr,NA03,NA,16.Oct.17,-18355.640535372848,-15989.483747609942,47.801147227533455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arsenopyrite,NA,FeAsS,cr,BN91,ZZL+16,16.Oct.17,-33843.21223709369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scorodite,NA,FeAsO4.2H2O,cr,LMR06,ZZL+16,16.Oct.17,-307619.5028680688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ferric arsenate,amorphous",NA,FeAsO4.2H2O,cr,LMR06,ZZL+16,16.Oct.17,-303771.51051625237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"barium arsenate",NA,Ba3(AsO4)2,cr,ZZX+05,ZZL+16,16.Oct.17,-739749.0439770555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"barium hydrogen arsenate",NA,BaHAsO4.H2O,cr,ZZX+05,ZZL+16,16.Oct.17,-367746.1759082218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
