element,state,source,mass,s,n
Z,aq,CWM89,0,-15.6166347992352,1
O,gas,CWM89,15.9994,49.0325047801147,2
H,gas,CWM89,1.00794,31.2332695984704,2
He,gas,CWM89,4.0026,30.1512906309751,1
Ne,gas,CWM89,20.179,34.9732313575526,1
Ar,gas,CWM89,39.948,37.0090822179732,1
Kr,gas,CWM89,83.8,39.2172562141491,1
Xe,gas,CWM89,131.29,40.5556883365201,1
F,gas,CWM89,18.9984,48.4682122370937,2
Cl,gas,CWM89,35.453,53.317638623327,2
Br,liq,CWM89,79.904,36.3790631,2
I,cr,CWM89,126.9045,27.7581261950287,2
S,cr,CWM89,32.06,7.66108986615679,1
N,gas,CWM89,14.0067,45.7956500956023,2
P,cr,CWM89,30.97376,9.82074569789675,1
C,cr,CWM89,12.011,1.37189292543021,1
Si,cr,CWM89,28.0855,4.49569789674952,1
Ge,cr,CWM89,72.59,7.43068833652008,1
Sn,cr,CWM89,118.69,12.2323135755258,1
Pb,cr,CWM89,207.2,15.4875717017208,1
B,cr,CWM89,10.81,1.41013384321224,1
Al,cr,CWM89,26.98154,6.76386233269599,1
Zn,cr,CWM89,65.38,9.94980879541109,1
Cd,cr,CWM89,112.41,12.3804971319312,1
Hg,liq,CWM89,200.59,18.1405353728489,1
Cu,cr,CWM89,63.546,7.92304015296367,1
Ag,cr,CWM89,107.8682,10.1696940726577,1
Ti,cr,CWM89,47.88,7.34225621414914,1
U,cr,CWM89,238.0289,11.9980879541109,1
Th,cr,CWM89,232.0381,12.3804971319312,1
Be,cr,CWM89,9.01218,2.27055449330784,1
Mg,cr,CWM89,24.305,7.80831739961759,1
Ca,cr,CWM89,40.08,9.94024856596558,1
Li,cr,CWM89,6.941,6.95984703632887,1
Na,cr,CWM89,22.98977,12.2609942638623,1
K,cr,CWM89,39.0983,15.4588910133843,1
Rb,cr,CWM89,85.4678,18.3508604206501,1
Cs,cr,CWM89,132.9054,20.3704588910134,1
O,gas,WEP+82,15.9994,49.0291586998088,2
H,gas,WEP+82,1.008,31.2342256214149,2
He,gas,WEP+82,4.0026,30.1505736137667,1
Ne,gas,WEP+82,20.183,34.9732313575526,1
Ar,gas,WEP+82,39.948,37.0083652007648,1
Kr,gas,WEP+82,83.8,39.2165391969407,1
Xe,gas,WEP+82,131.3,40.5552103250478,1
Rn,gas,WEP+82,222,42.1152007648184,1
F,gas,WEP+82,18.9984,48.4655831739962,2
Cl,gas,WEP+82,35.453,53.3140535372849,2
Br,liq,WEP+82,79.909,36.3840822179732,2
I,cr,WEP+82,126.9044,27.756931166348,2
At,cr,WEP+82,210,NA,2
S,cr,WEP+82,32.064,7.60038240917782,1
Se,cr,WEP+82,78.96,10.1438814531549,1
Te,cr,WEP+82,127.6,11.8809751434034,1
Po,cr,WEP+82,210,NA,1
