species,T,P,Cp
CH4,303.96,28,244.7
CH4,373.58,27.99,210
CH4,448.45,27.99,194.1
CH4,523.31,27.98,230.8
CH4,576.09,28.01,374
CH4,623.24,28,1029
CH4,648.75,28,4480
CH4,661.95,28,21550
CH4,665.95,28.01,9320
CH4,669.15,27.99,-19000
CH4,671.15,28.01,-23590
CH4,674.05,27.98,-16330
CH4,679.15,27.99,-6560
CH4,688.65,28,-2960
CH4,703.75,27.99,-1035
CO2,303.91,28,208.1
CO2,373.58,27.98,177.6
CO2,448.46,27.96,181.6
CO2,523.31,27.97,214
CO2,576.09,28.02,308
CO2,623.23,28.02,839
CO2,648.75,28,3570
CO2,661.95,28.01,17040
CO2,665.95,28,7710
CO2,669.15,27.99,-15670
CO2,671.15,28.01,-18420
CO2,674.05,27.98,-12850
CO2,679.15,28,-6800
CO2,688.65,27.99,-2347
CO2,703.75,28.01,-789
H2S,304.01,28,170.7
H2S,373.58,28,139.9
H2S,448.45,28.04,130.5
H2S,523.32,28,155.1
H2S,576.09,27.97,232.6
H2S,623.23,27.98,633
H2S,648.75,28.02,2675
H2S,661.95,28.01,12770
H2S,665.95,28,4210
H2S,669.15,28.01,-11220
H2S,671.15,28.01,-13100
H2S,674.05,27.98,-9290
H2S,679.15,28,-4690
H2S,688.65,27.99,-1731
H2S,703.75,28,-582
NH3,303.79,27.99,78
NH3,373.56,28,88
NH3,448.44,27.95,107.7
NH3,523.31,27.99,143.7
NH3,576.1,28,191.2
NH3,623.23,27.98,386
NH3,648.75,27.96,1390
NH3,661.95,28,6430
NH3,665.95,28.01,5760
NH3,669.15,28.01,-3470
NH3,671.15,28,-6640
NH3,674.05,27.99,-4910
NH3,679.15,28,-2390
NH3,688.65,28.01,-905
NH3,703.75,28.01,-211.9
NH3,373.58,27.99,90.7
NH3,448.46,28.02,109.1
NH3,523.32,28,141.4
NH3,576.1,28,187.2
NH3,623.23,27.99,380
NH3,648.75,27.96,1348
NH3,661.95,27.99,6530
NH3,665.95,28,5050
NH3,669.15,28.01,-4170
NH3,671.15,28,-6400
NH3,674.05,27.99,-4570
NH3,679.15,28,-2276
NH3,688.65,28,-792
NH3,703.75,28.01,-126.1
NH3,303.74,27.99,78.1
NH3,373.55,28,92
NH3,448.46,28.02,112.6
NH3,523.32,28,139.6
NH3,576.1,28,190.3
NH3,623.23,27.99,396
NH3,648.75,27.97,1414
NH3,661.95,27.99,6750
NH3,665.95,28,3560
NH3,669.15,28,-4840
NH3,671.15,28,-6090
NH3,674.05,28,-4230
NH3,679.15,28,-2103
NH3,688.65,28.01,-702
NH3,703.75,28.01,-162.9
