T,pH
5.38461538462,7.00497512438
8.07692307692,6.99502487562
10.7692307692,6.97512437811
14.1346153846,6.9552238806
18.8461538462,6.93532338308
22.8846153846,6.91542288557
27.5961538462,6.8855721393
32.3076923077,6.84577114428
37.0192307692,6.81592039801
42.4038461538,6.77611940299
45.7692307692,6.75621890547
49.1346153846,6.74626865672
53.8461538462,6.74626865672
57.8846153846,6.74626865672
62.5961538462,6.75621890547
66.6346153846,6.74626865672
70,6.7263681592
72.6923076923,6.69651741294
76.0576923077,6.66666666667
78.75,6.62686567164
81.4423076923,6.57711442786
84.1346153846,6.53731343284
87.5,6.4776119403
90.1923076923,6.42786069652
92.8846153846,6.37810945274
95.5769230769,6.32835820896
98.9423076923,6.26865671642
102.307692308,6.20895522388
105.673076923,6.14925373134
109.711538462,6.08955223881
113.75,6.02985074627
117.788461538,5.96019900498
120.480769231,5.93034825871
123.846153846,5.87064676617
127.884615385,5.82089552239
133.269230769,5.74129353234
137.307692308,5.69154228856
142.692307692,5.62189054726
147.403846154,5.56218905473
152.115384615,5.50248756219
156.826923077,5.44278606965
161.538461538,5.38308457711
167.596153846,5.30348258706
172.980769231,5.24378109453
178.365384615,5.16417910448
183.75,5.10447761194
189.807692308,5.01492537313
193.846153846,4.9552238806
197.884615385,4.89552238806
201.923076923,4.84577114428
204.615384615,4.81592039801
207.307692308,4.77611940299
212.019230769,4.71641791045
216.057692308,4.66666666667
219.423076923,4.62686567164
222.788461538,4.59701492537
226.153846154,4.5671641791
229.519230769,4.53731343284
232.884615385,4.50746268657
236.923076923,4.4776119403
241.634615385,4.44776119403
247.019230769,4.41791044776
253.75,4.38805970149
260.480769231,4.35820895522
266.538461538,4.34825870647
271.25,4.32835820896
277.307692308,4.3184079602
282.692307692,4.3184079602
286.057692308,4.30845771144
290.769230769,4.30845771144
294.807692308,4.30845771144
299.519230769,4.30845771144
304.230769231,4.30845771144
308.269230769,4.30845771144
312.980769231,4.3184079602
319.038461538,4.3184079602
323.75,4.32835820896
330.480769231,4.33830845771
335.192307692,4.34825870647
339.903846154,4.35820895522
343.269230769,4.36815920398
346.634615385,4.36815920398
350,4.36815920398
