x,y,pch
1.313,8.754,2
1.313,8.77,2
1.371,9.011,2
1.448,9.362,2
1.591,9.713,2
1.671,9.912,2
1.759,10.153,2
1.575,8.219,5
1.623,8.806,5
1.686,9.231,5
1.714,9.314,5
1.771,9.451,5
1.838,9.733,5
1.84,9.812,5
1.904,9.995,5
2.013,10.242,5
2.107,10.467,5
2.129,10.603,5
2.175,10.582,5
2.258,10.76,5
2.335,10.86,5
2.387,10.938,5
2.406,10.938,5
2.507,11.053,5
2.554,11.106,5
2.59,11.074,5
2.656,11.221,5
2.771,11.226,5
2.864,11.236,5
2.858,11.267,5
2.949,11.267,5
3.033,11.251,5
3.138,11.262,5
2.913,11.21,1
3.006,11.22,1
3.091,11.225,1
3.192,11.204,1
3.299,11.177,1
3.359,11.141,1
3.417,11.114,1
3.537,11.046,1
3.666,10.925,1
