Brine,log(aNa+/aH+),log(aK+/aH+)
1,7.38,5.515
2,7.209,5.362
3,7.094,5.286
5,7.121,5.263
8,7.868,5.797
9,7.997,5.971
11,8.02,5.97
12,8.05,5.98
13,7.568,5.55
16,7.611,5.581
17,7.66,5.626
19,8,6.01
20,7.99,5.99
24,7.584,5.544
25,7.52,5.39
26,6.856,5.033
28,7.9,5.93
29,7.594,5.515
30,7.294,5.723
31,7.719,5.643
41,7.299,5.22
45,7.457,5.455
52,8.25,6.17
53,8.114,6.08
58,7.805,5.752
59,784,5.69
63,7.245,5.451
65,7.435,5.375
66,7.94,5.74
69,7.775,5.62
70,7.96,5.77
72,8.399,5.961
73,8.242,6.009
74,7.73,5.55
78,8.233,6.069
80,8.25,6.09
83,7.554,3.7325
88,6.896,4.805
97,8.224,6.116
99,8.18,6.05
100,7.597,5.503
