pH,Z
1.291333,19.001552
1.710776,19.043037
1.947706,18.886528
2.210429,18.808984
2.632702,18.338036
3.003823,17.630321
3.216701,17.079503
3.486171,15.780001
3.755425,14.519916
4.025984,13.023324
4.133946,12.471989
4.268573,11.841947
4.562749,10.818501
4.987852,9.835118
5.35832,9.245657
5.805951,8.93251
6.411825,8.462466
6.885684,8.149448
7.386643,7.678888
7.9923,7.248262
8.440366,6.856279
8.88865,6.424878
9.312229,5.717421
9.739725,4.300441
9.955215,3.276606
10.332213,1.504605
10.440611,0.874434
